1, 13 19 20 22 49 58
2, 2 8 12 19 46 53
3, 9 18 28 29 32 53
4, 2 7 11 15 25 40
5, 1 10 11 48 55 57
6, 5 19 26 28 44 45
7, 8 16 31 39 48 57
8, 14 20 21 38 46 53
9, 1 13 25 41 42 59
10, 2 14 22 36 49 50
11, 10 19 26 36 52 58
12, 13 15 33 49 52 57
13, 5 6 7 8 17 36
14, 6 22 27 44 51 52
15, 2 9 36 37 54 55
16, 4 7 36 40 57 58
17, 5 17 23 25 42 53
18, 4 11 16 24 26 35
19, 7 30 38 40 43 50
20, 2 3 29 42 56 59
21, 6 29 36 43 46 54
22, 7 28 35 40 47 51
23, 1 12 17 23 59 60
24, 8 23 32 36 39 44
25, 4 14 15 46 52 60
26, 22 38 39 41 48 56
27, 5 17 18 31 35 52
28, 7 9 27 29 40 52
29, 2 12 17 24 41 58
30, 8 9 34 38 45 46
31, 20 30 33 48 56 57
32, 23 24 29 41 43 51
33, 13 16 32 36 41 59
34, 17 18 33 40 44 52
35, 12 30 33 40 45 48
36, 4 17 23 36 46 52
37, 8 18 27 28 32 41
38, 15 16 23 24 28 32
39, 3 12 25 29 53 56
40, 11 20 31 34 47 57
41, 3 12 14 27 48 49
42, 13 24 30 32 53 59
43, 2 12 17 37 45 52
44, 3 4 22 34 37 60
45, 14 17 28 41 47 60
46, 18 20 30 35 49 56
47, 8 13 15 27 43 60
48, 36 43 44 46 53 56
49, 1 20 25 28 43 50
50, 27 36 39 40 46 50
51, 1 7 12 51 56 58
52, 2 25 34 41 56 59
53, 12 19 27 28 45 48
54, 16 17 21 23 29 48
55, 5 16 22 28 41 56
56, 16 19 20 31 48 49
57, 4 18 20 26 28 45
58, 2 11 39 42 54 56
59, 3 14 16 27 29 51
60, 8 20 28 40 50 60
61, 4 9 17 30 40 45
62, 15 23 30 42 44 54
63, 5 11 23 35 37 44
64, 9 10 12 21 34 49
65, 14 27 31 41 48 53
66, 4 5 10 12 20 32
67, 5 11 12 46 50 55
68, 2 9 15 16 26 50
69, 26 37 43 47 57 58
70, 3 29 34 38 52 56
71, 4 11 30 32 43 48
72, 2 7 14 15 23 40
73, 3 43 45 46 49 59
74, 3 4 37 49 50 59
75, 2 13 25 40 42 48
76, 22 23 26 32 51 54
77, 6 14 25 39 48 59
78, 11 14 44 49 51 57
79, 10 15 16 37 38 59
80, 1 9 21 35 38 50
81, 4 11 13 22 27 34
82, 4 7 17 41 47 57
83, 3 6 12 27 35 44
84, 5 26 36 37 39 55
85, 11 14 19 25 33 60
86, 1 2 6 29 54 55
87, 9 13 18 30 48 55
88, 10 12 21 25 46 57
89, 6 16 33 34 35 46
90, 2 10 14 16 20 25
91, 20 23 34 47 48 60
92, 3 9 16 24 48 54
93, 20 30 43 49 53 59
94, 5 26 36 57 59 60
95, 19 24 28 29 33 34
96, 11 16 26 27 34 50
97, 9 20 26 27 33 51
98, 10 16 30 39 56 59
99, 4 6 15 20 36 39
100, 2 16 27 31 32 58
101, 1 2 10 21 54 56
102, 7 12 26 35 54 56
103, 8 16 24 33 37 45
104, 5 8 23 31 43 51
105, 2 19 23 27 53 59
106, 21 22 27 37 57 60
107, 28 29 32 39 43 51
108, 1 8 27 46 47 57
109, 26 42 48 50 51 60
110, 6 15 19 49 51 54
111, 1 15 20 34 46 59
112, 1 2 3 29 38 42
113, 10 18 26 42 56 57
114, 25 34 35 46 47 60
115, 4 13 15 25 31 46
116, 14 16 21 42 51 57
117, 9 12 14 16 45 54
118, 5 7 19 30 42 52
119, 1 18 36 38 46 47
120, 7 10 26 53 56 59
121, 8 13 15 35 44 57
122, 14 21 22 23 53 59
123, 2 20 28 30 51 60
124, 6 18 22 30 32 41
125, 5 18 19 42 44 49
126, 1 3 4 8 23 52
